#front;back
鎮魂;ちんこん<br><br>repose of souls
憂国;ゆうこく<br><br>patriotism
抹茶;まっちゃ<br><br>matcha, powdered green tea
抹消;まっしょう<br><br>erase, delete
傍受;ぼうじゅ<br><br>monitoring, interception, tapping
凝固;ぎょうこ<br><br>solidify, coagulate, freeze
凝視;ぎょうし<br><br>stare, gaze, fixation
貴賓;きひん<br><br>noble visitor
累計;るいけい<br><br>cumulative total, accumulated total
粗野;そや<br><br>rustic, rough, rude, vulgar
山葵;わさび<br><br>wasabi, japanese horseradish
粗悪;そあく<br><br>coarse, crude, inferior
神髄;しんずい<br><br>essence, spirit, true meaning
凝る;こる<br><br>to be absorbed in, to grow stiff, to be devoted to
捕虜;ほりょ<br><br>prisoner of war, captive
奉仕;ほうし<br><br>attendance, service, ministry
信奉;しんぽう<br><br>belief, faith
元旦;がんたん<br><br>new year's day, new year's morning
奉公;ほうこう<br><br>service, apprenticeship, public duty
素朴;そぼく<br><br>simple, naive
奉納;ほうのう<br><br>dedication, offering, presentation
繁昌;はんじょう<br><br>prosperity, flourishing, thriving
弥生;やよい<br><br>yayoi period, yayoi
循環;じゅんかん<br><br>circulation, rotation, cycle
治癒;ちゆ<br><br>healing, cure, recovery
之;これ<br><br>this
佳作;かさく<br><br>fine work, good piece of work
哀悼;あいとう<br><br>condolence, regret, sympathy, lament
起伏;きふく<br><br>undulation, ups and downs, highs and lows
追悼;ついとう<br><br>mourning, memorial
惜敗;せきはい<br><br>loss of a close game, regrettable defeat
憂慮;ゆうりょ<br><br>anxiety, concern, fear
降伏;こうふく<br><br>surrender, submission
愉快;ゆかい<br><br>pleasant, happy
遺憾;いかん<br><br>regrettable, unsatisfactory
潜伏;せんぷく<br><br>conceal, hiding, ambush
憂鬱;ゆううつ<br><br>depression, melancholy, dejection, gloom
一抹;いちまつ<br><br>a little, a touch, slightly
伏線;ふくせん<br><br>foreshadowing
伏兵;ふくへい<br><br>ambush
粗い;あらい<br><br>coarse, rough
累積;るいせき<br><br>accumulation
栃木県;とちぎけん<br><br>tochigi prefecture
尿;にょう<br><br>urine, pee
累進;るいしん<br><br>successive promotion, gradual promotion
据え付ける;すえつける<br><br>to install, to equip, to mount
鎮める;しずめる<br><br>to appease, to suppress, to calm
重鎮;じゅうちん<br><br>leader, authority
南瓜;かぼちゃ<br><br>pumpkin, squash, kabocha
洗浄剤;せんじょうざい<br><br>detergent
憂える;うれえる<br><br>to grieve, to lament, to be anxious, to be distressed
惜しむ;おしむ<br><br>to be frugal, to be sparing
伏せる;ふせる<br><br>to cover, to hide, to lay upside down, to turn over
瓜実顔;うりざねがお<br><br>oval face, classic features
