#front;back
器用;きよう<br><br>dextrous, skillful, dexterous
食器;しょっき<br><br>tableware, eating utensils, utensils
力士;りきし<br><br>sumo wrestler
大好き;だいすき<br><br>really like, to really like, love, to love, like a lot, to like a lot, like very much, to like very much
感動する;かんどうする<br><br>to be emotionally moved, to be moved emotionally, to be moving
感情;かんじょう<br><br>feeling, emotion
戦う;たたかう<br><br>to fight, to battle, to combat
料金;りょうきん<br><br>fee, bills, fees, bill
映画;えいが<br><br>movie, film
皆様;みなさま, みんなさま<br><br>everyone, all, everybody
目標;もくひょう<br><br>goal, target
自殺;じさつ<br><br>suicide
自然;しぜん<br><br>nature, natural
熱い;あつい<br><br>hot thing, hot
熱心;ねっしん<br><br>enthusiasm, passion, zeal
皆さん;みなさん, みんなさん<br><br>everyone, everybody, all
育てる;そだてる<br><br>to bring up, to raise, to bring something up, to raise something
詩;し<br><br>poem
詩人;しじん<br><br>poet
課長;かちょう<br><br>section manager, section chief
選手;せんしゅ<br><br>pro athlete, sports player, professional athlete
水銀;すいぎん<br><br>mercury, quicksilver
銀行;ぎんこう<br><br>bank
〜放題;ほうだい<br><br>as much as you want, all you can
お願いします;おねがいします<br><br>please help me, please, if you would be so kind
本館;ほんかん<br><br>main building
初めて;はじめて<br><br>for the first time, first time
想定;そうてい<br><br>hypothesis, supposition, assumption, estimation
王様;おうさま<br><br>king
神様;かみさま<br><br>god, gods
酒好き;さけずき<br><br>drinker, alcoholic
練習;れんしゅう<br><br>practice
材木;ざいもく<br><br>lumber, timber, wood
期待する;きたいする<br><br>to expect, to anticipate
約;やく<br><br>promise, approximately
残業;ざんぎょう<br><br>overtime
私生活;しせいかつ<br><br>personal life, one's personal life, private life, one's private life
私立;しりつ<br><br>private
約束;やくそく<br><br>promise, appointment, pact
失望;しつぼう<br><br>disappointment, despair
悪気;わるぎ<br><br>evil intent, malice
着ける;つける<br><br>to put on, to wear
料理;りょうり<br><br>cooking, cuisine, cookery
私鉄;してつ<br><br>private railway
予約;よやく<br><br>reservation, appointment
頑固;がんこ<br><br>stubborn
才能;さいのう<br><br>talent, ability, genius
芸者;げいしゃ<br><br>geisha
願望;がんぼう<br><br>desire, wish, aspiration
人格;じんかく<br><br>character, personality
松;まつ<br><br>pine, pine tree
例外;れいがい<br><br>exception
協力;きょうりょく<br><br>cooperation
折る;おる<br><br>to fold
周囲;しゅうい<br><br>perimeter, circumference, surroundings, environs
女性;じょせい<br><br>female
男性;だんせい<br><br>male
技能;ぎのう<br><br>skill, ability
勉強する;べんきょうする<br><br>to study
温める;あたためる<br><br>to warm up, to warm, to heat up, to heat
悲しむ;かなしむ<br><br>to be sad
深さ;ふかさ<br><br>depth, profundity
能力;のうりょく<br><br>ability, capability
木材;もくざい<br><br>wood, lumber
骨折;こっせつ<br><br>broken bone, fracture, bone fracture
旅行する;りょこうする<br><br>to travel, to take a trip
約する;やくする<br><br>to promise
例文;れいぶん<br><br>example sentence, model sentence, sample sentence
完了;かんりょう<br><br>completion, complete, finish, conclusion
悪例;あくれい<br><br>bad example, bad precedent
美術;びじゅつ<br><br>fine art
念願;ねんがん<br><br>heart's desire, earnest wish
卒業;そつぎょう<br><br>graduation
特技;とくぎ<br><br>specialty
動かす;うごかす<br><br>to move something
旅行者;りょこうしゃ<br><br>traveler, tourist
目的;もくてき<br><br>purpose, goal, motive
性;せい<br><br>gender, nature, sex
流行歌;りゅうこうか<br><br>popular song
芸術;げいじゅつ<br><br>art, the arts, fine art
例えば;たとえば<br><br>for example, for instance
格好;かっこう<br><br>shape, form, posture
流行語;りゅうこうご<br><br>popular phrase, catchphrase
技;わざ<br><br>technique, art
動き;うごき<br><br>movement, activity, trend, development, change
周年;しゅうねん<br><br>anniversary
回転する;かいてんする<br><br>to rotate, to revolve
松葉;まつば<br><br>pine needle
希望;きぼう<br><br>hope, wish, aspiration
消化不良;しょうかふりょう<br><br>indigestion
私;わたし, わたくし<br><br>i
残り;のこり<br><br>remainder, remnant, leftover, residue
日本的;にほんてき<br><br>very japanese, typically japanese
性格;せいかく<br><br>personality, character
回転ずし;かいてんずし<br><br>rotating sushi, conveyor belt sushi, revolving sushi, sushi train, sushi go round
完全;かんぜん<br><br>complete, perfect, perfection, completeness
雰囲気;ふんいき<br><br>atmosphere, ambience, ambiance, mood
消しゴム;けしごむ, けしゴム<br><br>eraser, rubber
参る;まいる<br><br>to come, to go
妥協;だきょう<br><br>compromise
折角;せっかく<br><br>with trouble, with difficulty, going through the trouble, trouble with, difficulty with, on purpose, deliberately
芸人;げいにん<br><br>comedian, actor, performer
性病;せいびょう<br><br>sexually transmitted disease, std
起こす;おこす<br><br>to wake someone up, to wake up, to wake someone
見返す;みかえす<br><br>to look back at, to triumph over
完成;かんせい<br><br>completion, accomplishment
意地悪;いじわる<br><br>malicious, mean, jerk
悪口;わるくち, わるぐち, あっこう<br><br>verbal abuse, saying bad things, insult, slander, bad mouth
気持ち悪い;きもちわるい<br><br>to feel terrible, terrible, to feel bad, bad feeling, feeling bad, feeling terrible
消える;きえる<br><br>to disappear, to go out, to turn off
消化する;しょうかする<br><br>to digest
周期;しゅうき<br><br>cycle, period
一例;いちれい<br><br>instance, example
自動;じどう<br><br>automatic
協会;きょうかい<br><br>union, association, organization, organisation
一周;いっしゅう<br><br>one time around, once around
囲む;かこむ<br><br>to surround
固い;かたい<br><br>hard
良好;りょうこう<br><br>good, favorable, satisfactory
四季;しき<br><br>the four seasons, four seasons
残念;ざんねん<br><br>too bad, unfortunate
人性;じんせい<br><br>human nature, instinct
望む;のぞむ<br><br>to wish, to desire
材料;ざいりょう<br><br>ingredients, material
束;たば<br><br>bundle
合格する;ごうかくする<br><br>to pass a test, to pass an exam
残る;のこる<br><br>to remain behind, to remain, to stay behind
求める;もとめる<br><br>to want, to request, to demand
求人;きゅうじん<br><br>help wanted, seeking workers
流れる;ながれる<br><br>to stream, to flow
山登り;やまのぼり<br><br>mountain climbing
〜的;てき<br><br>al, like, typical
芸能界;げいのうかい<br><br>showbusiness, showbiz, show business
落ち着く;おちつく<br><br>to calm down
都合;つごう<br><br>at your convenience, circumstance
骨;ほね<br><br>bone
骨格;こっかく<br><br>skeleton
周り;まわり<br><br>circumference, perimeter, edge, surroundings, locality, neighborhood
理性;りせい<br><br>reason, sense, intellect, understanding
言葉つき;ことばつき<br><br>speech, expression, wording, language, diction
悲しみ;かなしみ<br><br>sadness, sorrow, grief, unhappiness, distress
基本;きほん<br><br>foundation, basics
近代的;きんだいてき<br><br>modern
意図的;いとてき<br><br>intentional, on purpose
文化祭;ぶんかさい<br><br>school festival, culture festival, arts festival
要求;ようきゅう<br><br>demand, requirement
望み;のぞみ<br><br>wish, hope, desire
中毒;ちゅうどく<br><br>poisoning, addiction
変死;へんし<br><br>unnatural death, accidental death
春休み;はるやすみ<br><br>spring break, spring vacation, spring holiday
お願い;おねがい<br><br>a request, request, wish, please
練習する;れんしゅうする<br><br>to practice
暗記する;あんきする<br><br>to memorize, to memorise
区;く<br><br>district, ward
坂;さか<br><br>slope
変;へん<br><br>strange
寺;てら<br><br>temple
岩;いわ<br><br>boulder
春;はる<br><br>spring
変える;かえる<br><br>to change
昨日;きのう<br><br>yesterday
晩;ばん<br><br>night, evening
計画;けいかく<br><br>plan
毒ガス;どくがす, どくガス<br><br>poison gas
毒言;どくげん<br><br>abusive language
有毒;ゆうどく<br><br>poisonous, toxic
毒;どく<br><br>poison
事変;じへん<br><br>incident
浅い;あさい<br><br>shallow
英文;えいぶん<br><br>english writing, english composition
軍人;ぐんじん<br><br>soldier
秋;あき<br><br>autumn, fall
飲み放題;のみほうだい<br><br>all you can drink
変人;へんじん<br><br>an eccentric, eccentric, oddball
計算;けいさん<br><br>calculation
不信;ふしん<br><br>distrust, unfaithfulness
仏教;ぶっきょう<br><br>buddhism
