#front;back
余る;あまる<br><br>to be in surplus, to remain left over, to exceed, to surplus, to be in excess
論文;ろんぶん<br><br>essay, thesis
難しい;むずかしい<br><br>difficult, hard
三個;さんこ<br><br>three small things, three things, three objects, three small objects
困難;こんなん<br><br>hardship, difficulty
自在;じざい<br><br>freely, at will
天気予報;てんきよほう<br><br>weather forecast
議長;ぎちょう<br><br>chairman, speaker
焼ける;やける<br><br>to be cooked, to burn
余計;よけい<br><br>unneeded, more than enough, too much, excess, unnecessary
倒す;たおす<br><br>to knock over, to knock down, to bring down
不可分;ふかぶん<br><br>indivisible
圧力;あつりょく<br><br>pressure, stress
指圧;しあつ<br><br>shiatsu, finger pressure
夢;ゆめ<br><br>dream
妻;つま<br><br>wife, my wife
嫌い;きらい<br><br>to dislike, to hate, dislike, hate
電子機器;でんしきき<br><br>electronic equipment, electronics
災害;さいがい<br><br>natural disaster, disaster, accident
震災;しんさい<br><br>earthquake disaster
胸焼け;むねやけ<br><br>heartburn
論理;ろんり<br><br>logic
共犯者;きょうはんしゃ<br><br>accomplice
産む;うむ<br><br>to give birth
穴子;あなご<br><br>conger eel, anago
犯罪;はんざい<br><br>crime
被る;かぶる<br><br>to put on a hat, to put on, to wear a hat, to wear, to put a hat on
音訓;おんくん<br><br>on'yomi and kun'yomi, chinese and japanese readings
理論;りろん<br><br>theory
不思議;ふしぎ<br><br>wonder, mystery, marvel
入学試験;にゅうがくしけん<br><br>entrance exams, entrance examinations, admission test, admission exam, admission examination, entrance test
会議室;かいぎしつ<br><br>conference room, council room, meeting room
議員;ぎいん<br><br>member of the diet, diet member
尾;お<br><br>tail
最後尾;さいこうび<br><br>end of a line
嫌悪;けんお<br><br>disgust, hate, repugnance
高等学校;こうとうがっこう<br><br>senior high school
