#front;back
祖父母;そふぼ<br><br>grandparents
書き込む;かきこむ<br><br>to fill out, to write in
申し込む;もうしこむ<br><br>to apply, to submit an application
劇;げき<br><br>drama, play, show
奴;やつ<br><br>dude, guy
汚す;よごす<br><br>to make dirty, to make something dirty
投げ捨てる;なげすてる<br><br>to throw away
腐敗;ふはい<br><br>decomposition, decay
常勤;じょうきん<br><br>full time employment, full time
源氏;げんじ<br><br>genji
枝;えだ<br><br>branch
源;みなもと<br><br>ground spring, source, origin
不純;ふじゅん<br><br>impure
納豆;なっとう<br><br>natto, fermented soybeans
染まる;そまる<br><br>to be dyed
発揮する;はっきする<br><br>to exhibit, to demonstrate
縦書;たてがき<br><br>vertical writing, vertical style writing
黒幕;くろまく<br><br>wirepuller, mastermind, black curtain, dick cheney
貴様;きさま<br><br>you
震源地;しんげんち<br><br>epicenter, epicentre
歓楽街;かんらくがい<br><br>pleasure quarter
丼;どんぶり<br><br>rice bowl
注射;ちゅうしゃ<br><br>shot, injection
単純;たんじゅん<br><br>simple
染み;しみ<br><br>stain, a stain
損なう;そこなう<br><br>to harm, to injure
全損;ぜんそん<br><br>total loss
賛成する;さんせいする<br><br>to agree, to support
血液型;けつえきがた<br><br>blood type, blood group
降車;こうしゃ<br><br>getting off a train, get off a train, getting off the train, get off the train
迎え;むかえ<br><br>welcome, meeting, greeting, reception
承知;しょうち<br><br>consent, know
推定;すいてい<br><br>estimate, estimation, assumption
人込み;ひとごみ<br><br>crowd of people, crowded, crowded with people
大損;おおぞん<br><br>heavy loss, big loss
薦める;すすめる<br><br>to recommend
心臓;しんぞう<br><br>heart
反射;はんしゃ<br><br>reflection
引っ越す;ひっこす<br><br>to move, to move homes
飼い主;かいぬし<br><br>pet owner
傷つける;きずつける<br><br>to hurt someone, to injure, to wound, to scratch, to damage
使い捨て;つかいすて<br><br>disposable
飛び込み自殺;とびこみじさつ<br><br>suicide by train
紅;べに, くれない<br><br>deep red, dark red
貴い;とうとい<br><br>valuable, sacred
純粋;じゅんすい<br><br>pure, genuine
貴族;きぞく<br><br>the nobility, a noble
うなぎ丼;うなぎどん<br><br>eel bowl, eel rice bowl
奴隷;どれい<br><br>slave
吐く;はく<br><br>to puke, to throw up, to barf
損害;そんがい<br><br>damage, injury
縦横;たてよこ, じゅうおう<br><br>length and width, vertical and horizontal
磁石;じしゃく<br><br>magnet, a magnet
紅茶;こうちゃ<br><br>black tea
指揮;しき<br><br>command, lead
勤める;つとめる<br><br>to be employed at, to work for
放射;ほうしゃ<br><br>radiation
拝む;おがむ<br><br>to worship, to pray to
自薦;じせん<br><br>recommendation
沿う;そう<br><br>to run alongside, to run parallel to
腐食;ふしょく<br><br>corrosion
電源;でんげん<br><br>power source, light socket
歌劇;かげき<br><br>opera
承る;うけたまわる<br><br>to consent, to hear, to be informed, to listen to
刻む;きざむ<br><br>to carve, to cut up
時刻表;じこくひょう<br><br>timetable, schedule
深刻;しんこく<br><br>serious, grave
喜劇;きげき<br><br>comedy
眼鏡;めがね<br><br>glasses, eyeglasses
幕府;ばくふ<br><br>bakufu, shogunate
貴重;きちょう<br><br>precious, valuable
傷む;いたむ<br><br>to be damaged, to go bad, to spoil
汁;しる<br><br>soup
測る;はかる<br><br>to measure, to measure scientifically
講演;こうえん<br><br>lecture, address
遅延;ちえん<br><br>delay
遅れる;おくれる<br><br>to be late
閉じる;とじる<br><br>to shut, to close
滞る;とどこおる<br><br>to be overdue
入獄;にゅうごく<br><br>imprisonment
長寿;ちょうじゅ<br><br>long life, longevity
破船;はせん<br><br>shipwreck
三つ編み;みつあみ<br><br>braided hair, hair braid, plaited hair, plait
蒸し返す;むしかえす<br><br>to reheat
紹介;しょうかい<br><br>introduction
海亀;うみがめ<br><br>sea turtle
互い;たがい<br><br>mutual, each other, reciprocal, together
相互;そうご<br><br>mutual, reciprocal
剣道;けんどう<br><br>kendo, japanese fencing, way of the sword
寿司;すし<br><br>sushi
喜寿;きじゅ<br><br>seventy seventh birthday
彼氏;かれし<br><br>boyfriend
兵舎;へいしゃ<br><br>barracks
遅滞;ちたい<br><br>delay
為に;ために<br><br>for the sake of, sake of
自己;じこ<br><br>self, oneself
有意;ゆうい<br><br>significance
地獄;じごく<br><br>hell
獄内;ごくない<br><br>in prison
青銅;せいどう<br><br>bronze
銅像;どうぞう<br><br>copper statue, bronze statue
彼;かれ<br><br>he
寿命;じゅみょう<br><br>lifespan
彼ら;かれら<br><br>they
泥酔;でいすい<br><br>dead drunk, completely drunk
果汁;かじゅう<br><br>fruit juice
出獄;しゅつごく<br><br>release from prison
炎症;えんしょう<br><br>inflammation
脱獄;だつごく<br><br>jailbreak, escape from prison
湖;みずうみ<br><br>lake
鍋;なべ<br><br>pot, hotpot
醤油;しょうゆ<br><br>shoyu, soy sauce, shouyu
油断;ゆだん<br><br>inattentiveness, let your guard down
原油;げんゆ<br><br>crude oil
行為;こうい<br><br>deed
熊本県;くまもとけん<br><br>kumamoto prefecture
遅刻;ちこく<br><br>be late, be tardy, late, tardy
介入;かいにゅう<br><br>intervention
山中湖;やまなかこ<br><br>lake yamanaka, yamanaka lake
講義;こうぎ<br><br>lecture
一筋;ひとすじ<br><br>single mindedly, intently, earnestly
剣;けん<br><br>sword, sabre, blade, double edged sword
熊;くま<br><br>bear
恥ずかしい;はずかしい<br><br>embarrassing, embarrassed, ashamed
酢;す<br><br>vinegar
暮らし;くらし<br><br>life, living, daily living
納得;なっとく<br><br>consent
田舎;いなか<br><br>countryside, rural
給油;きゅうゆ<br><br>fueling
杉;すぎ<br><br>cedar
観測;かんそく<br><br>observation
銅山;どうざん<br><br>copper mine
講師;こうし<br><br>lecturer, instructor
炎;ほのお<br><br>big fire, flame
亀;かめ<br><br>turtle
諸々;もろもろ<br><br>various, all kinds of
酔う;よう<br><br>to be drunk
払う;はらう<br><br>to pay
盛り上げる;もりあげる<br><br>to heap up, to pile up
垂れる;たれる<br><br>to dangle, to drip
納まる;おさまる<br><br>to be supplied, to be delivered, to be paid
尊敬する;そんけいする<br><br>to respect
破る;やぶる<br><br>to tear, to rip, to break
蒸し暑い;むしあつい<br><br>humid, hot and humid
否定形;ひていけい<br><br>negative form, negative sentence, negative, negative tense
彫刻;ちょうこく<br><br>sculpture
推測;すいそく<br><br>conjecture, speculation
破壊;はかい<br><br>destruction, demolition
福寿;ふくじゅ<br><br>happiness and longevity
真剣;しんけん<br><br>serious
庁舎;ちょうしゃ<br><br>government office building
味噌;みそ<br><br>miso
予測;よそく<br><br>prediction
油田;ゆでん<br><br>oil field
尊敬語;そんけいご<br><br>honorific japanese, honorific language, formal japanese, formal language
宝くじ;たからくじ<br><br>lottery, public lottery
油;あぶら<br><br>oil
厄介;やっかい<br><br>troublesome, burdensome, hard to deal with, trouble, burden, nuisance
酢の物;すのもの<br><br>vinegared food, pickled food
交互;こうご<br><br>alternately
破産;はさん<br><br>bankruptcy
己;おのれ<br><br>oneself, myself, i
装う;よそおう<br><br>to feign, to wear, to pretend
宣言する;せんげんする<br><br>to proclaim
裏切り者;うらぎりもの<br><br>traitor
閉まる;しまる<br><br>to be shut, to be closed
否定する;ひていする<br><br>to deny
同音異義語;どうおんいぎご<br><br>homonym
著作権;ちょさくけん<br><br>copyright
白熊;しろくま<br><br>polar bear
暮れる;くれる<br><br>to get dark, to end, to close, to run out, to be lost
石油;せきゆ<br><br>oil, petroleum, kerosene
恥;はじ<br><br>shame, embarrassment, disgrace
